user_id,prod_id,rating,timestamp
A2CX7LUOHB2NDG,321732944,5,"2012-07-01 18:26:24"
A2NWSAGRHCP8N5,439886341,1,"2013-04-29 17:03:28"
A2WNBOD3WNDNKT,439886341,3,"2013-07-22 16:45:23"
A1GI0U4ZRJA8WN,439886341,1,"2012-04-18 17:42:54"
A1QGNMC6O1VW39,511189877,5,"2014-04-14 09:44:01"
A3J3BRHTDRFJ2G,511189877,2,"2014-04-14 10:40:47"
A2TY0BTJOTENPG,511189877,5,"2014-03-27 16:48:43"
A34ATBPOK6HCHY,511189877,5,"2014-03-23 08:24:28"
A89DO69P0XZ27,511189877,5,"2014-03-22 09:02:16"
AZYNQZ94U6VDB,511189877,5,"2014-05-29 15:21:38"
A1DA3W4GTFXP6O,528881469,5,"2014-07-18 10:52:04"
A29LPQQDG7LD5J,528881469,1,"2012-11-05 14:54:23"
AO94DHGC771SJ,528881469,5,"2013-06-02 12:50:25"
AMO214LNFCEI4,528881469,1,"2010-11-25 18:12:17"
A28B1G1MSJ6OO1,528881469,4,"2010-07-25 10:11:44"
A3N7T0DY83Y4IG,528881469,3,"2010-09-09 14:57:15"
A1H8PY3QHMQQA0,528881469,2,"2010-11-24 08:42:54"
A2CPBQ5W4OGBX,528881469,2,"2010-06-21 09:40:37"
A265MKAR2WEH3Y,528881469,4,"2011-01-12 09:08:29"
A37K02NKUIT68K,528881469,5,"2010-12-25 15:49:58"
A2AW1SSVUIYV9Y,528881469,4,"2010-11-06 17:02:32"
A2AEHUKOV014BP,528881469,5,"2010-09-12 14:23:32"
AMLFNXUIEMN4T,528881469,1,"2011-06-12 16:26:00"
A2O8FIJR9EBU56,528881469,4,"2010-07-08 12:18:35"
A3IQGFB959IR4P,528881469,1,"2012-01-24 10:36:14"
AYTBGUX49LF3W,528881469,4,"2014-04-26 14:11:28"
A24QFSUU00IZ05,528881469,2,"2010-12-29 17:36:51"
A1NG5X8VYZWX0Q,528881469,1,"2010-10-09 09:30:30"
A1E4WG8HRWWK4R,528881469,5,"2014-01-28 11:42:59"
A2AOEW5UGXFOOQ,528881469,5,"2011-01-12 18:31:29"
A2XSWV6AQI90BR,528881469,1,"2011-03-13 15:03:37"
AR84FMFYCQCWF,528881469,1,"2011-02-03 12:38:16"
A19TBA1WARJS55,528881469,2,"2012-06-24 16:25:55"
A3C5SMBSKKWNPT,528881469,5,"2010-09-22 13:58:33"
A24EV6RXELQZ63,528881469,1,"2011-09-29 13:39:01"
A3T6ZQONABIJSG,528881469,1,"2013-01-13 15:13:57"
A132P6YSJSI5G2,528881469,2,"2011-02-28 18:36:09"
A1NQPG5IJ43HJI,558835155,3,"2013-06-30 13:05:36"
A2WOJCFAWI8VS8,059400232X,5,"2013-09-17 09:29:20"
A22FB2WSZSXSHH,059400232X,5,"2012-09-28 14:23:10"
AZQZ3STMCBG5H,059400232X,5,"2014-03-25 14:20:59"
A2EGPA22UHMQXL,594012015,1,"2014-07-14 18:04:49"
AC57CU3TF6ZMJ,594012015,5,"2014-07-01 15:39:12"
A2YX0Z6RHA8Y2H,594012015,1,"2013-11-13 12:04:03"
A38T51B7J6QVD9,594012015,1,"2013-08-22 12:25:40"
A1HOSS7PNC1LMU,594012015,1,"2013-07-23 08:06:53"
A9HI77BE35VYE,594012015,1,"2013-07-16 17:28:07"
A3HFUWKSPF5QEH,594012015,5,"2013-07-20 16:07:00"
A38ETMHM9ATSF0,594012015,1,"2013-07-18 11:06:41"
A34O6MND17VDDH,594017343,1,"2011-12-07 13:00:21"
A3JSAGWSLY5044,594017580,3,"2014-07-04 18:59:21"
A3B12X05JZKM94,594033896,5,"2014-07-15 17:56:21"
AKZOMZCNU41GZ,594033896,4,"2014-01-02 16:46:40"
A2XTFY0GJDF3R2,594033896,4,"2011-03-16 09:28:20"
A3ILG56NE5QU37,594033896,5,"2014-05-07 14:27:36"
AOK77THMKCGXZ,594033896,4,"2014-03-11 11:47:23"
